,Heartwarming & Comedic,Pure Horror & Dread,Action & Spectacle,Dialogue-Driven & Introspective,Immersive World-Building (Sci-Fi/Fantasy),Grounded in Reality & History,Intellectual & Philosophical Puzzle,Deeply Dramatic & Emotional,Visually Artistic & Stylized,Fast-Paced & Thrilling
0,1.0,0.0,0.1,0.2,0.3,0.1,0.0,0.3,0.1,0.0
1,0.0,0.9,0.2,0.1,0.3,0.0,0.2,0.1,0.2,0.1
2,0.1,0.1,1.0,0.0,0.2,0.1,0.0,0.2,0.3,0.8
3,0.1,0.0,0.2,0.1,1.0,0.0,0.3,0.1,0.7,0.2
4,0.1,0.0,0.2,0.2,0.0,0.9,0.3,0.2,0.1,0.1
5,0.1,0.2,0.0,0.8,0.2,0.3,0.9,0.2,0.1,0.0
6,0.1,0.0,0.2,0.2,0.1,0.3,0.1,1.0,0.3,0.0
7,0.1,0.0,0.2,0.3,0.6,0.1,0.2,0.3,1.0,0.1
8,0.0,0.1,0.8,0.0,0.1,0.0,0.2,0.1,0.1,1.0
9,0.1,0.0,0.3,0.2,0.9,0.1,0.2,0.1,0.8,0.4
10,0.1,0.0,0.1,0.3,0.0,1.0,0.2,0.3,0.1,0.0
11,0.0,0.1,0.1,0.9,0.2,0.2,1.0,0.3,0.3,0.1
12,0.2,0.0,0.1,0.4,0.1,0.2,0.2,0.9,0.3,0.0
13,0.2,0.0,0.1,0.3,0.4,0.1,0.1,0.3,0.9,0.0
14,0.1,0.2,0.8,0.0,0.2,0.0,0.1,0.1,0.1,1.0
15,0.2,0.1,0.3,0.1,1.0,0.0,0.2,0.2,0.8,0.2
16,0.1,0.0,0.1,0.8,0.1,0.4,0.9,0.3,0.2,0.0
17,0.3,0.0,0.1,0.2,0.1,0.2,0.1,1.0,0.2,0.0
18,0.2,0.0,0.3,0.1,0.3,0.1,0.0,0.2,1.0,0.1
19,0.2,0.0,0.1,0.3,0.0,0.9,0.2,0.1,0.1,0.0
